ID,Comments
261,Easy to use and my alternative rock songs sound awesome on it!
262,How many songs it holds
263,It's nice and small and fits into my handbag.
264,"Been using a portable cassette player, but it finally broke. Product A seemed to be the brand to get. I like that they're really light weight. Also, it's easier to skip around from song to song than it is with a tape."
265,It's small
266,Size
267,"It changes the relationship you have with your music. I've been listening to music a long time and that never happened with cds, tapes, or vinyl."
268,I like that I don't have to fiddle with software to download music. I can just drag my songs onto the memory card and plug it in.
269,I can put a lot of music on it and it's cool looking
270,Sound quality.
271,I like that I can listen to my music when I'm at the gym and not have to worry about switching CD's or the CD skipping.
272,"Creating custom playlists, listening to comedy clips downloaded from the Web"
273,Nothing
274,Well being a long haul truck driver i really like the fact that there is always music to listen to and that i can turn up the volume real loud when my favorite song comes on.
275,built-in FM tuner
276,I like that it's easily portable and that I can take it with me while I'm working at my local coffee shop.
277,size
278,I like that I can easily carry a variety of music with me. The new broadcast feature is also great.
279,"lots of storage, ability to store all of my music in one place, listening to books, playlists"
280,The number of songs I can store on it.
281,I can access it using different computers. It's also very compact for travelling.
282,small footprint
283,Discrete size.
284,Great music quality
285,small
286,I can buy just the songs I want on their site.
287,the memory
288,"Very convenient, can take it anywhere."
289,It's pink.
290,"little size, great capacity"
291,"holds lots of songs, can tell which album and song is playing, and by which artist"
292,its color
293,"The smallest, most reliable, best product ever on the market."
294,Ease of use
295,hand-sized portable
296,Design and simplicity
297,its stylin'
298,Uses standard batteries
299,it holds loads of songs and is easy to use
300,it sounds amazing and i love having all that music available to me
301,not as pricey as Product A
302,Great sound.
303,the fact that it can be charged up and I don't need to carry CDs as all the music is loaded on it already.
304,music catalogue is better than others
305,"Ease of use, bug free"
306,Quite stylish and easy to use.
307,I love how it is so small. I also like the games I can play
308,"I like the various functions that it offers including music, film & photos"
309,You can listen to anything!
310,the colour of the device
311,size and weight
312,Good quality of sound
313,Its very light!
314,large drive is key
315,"Small size, amount of storage, colour, style and design"
316,it portable
317,size
318,convenience
319,I finally caved in after seeing all the commericals and seeing people on the train with Product A. It does look sleek.
320,You can listen to your own music wherever you are
321,"It's small and light, long battery life, good sound quality."
322,the size
323,"Hats off (again). Every time they upgrade I buy the lastest (and give my old one to friends or sell online). The latest version with video and photo capability is amazing. Plus it's lighter and thinner and holds like 15,000 songs. For me though, having access to tunes on the web makes all the difference. It's the best source for digital music hands down."
324,"form, function, memory, ease of use"
325,it looks beautiful and it is easy to use.
326,Its smaller and lighter than a personal cassette player.
327,style
328,portability
329,Size
330,It's part of my organizer so I don't have to carry too much hardware around.
331,Uses removable memory cards.
332,it plays music
333,It is lightweight and rugged
334,I like the well-designed interface and large capacity.
335,The size is best.
336,looks cool
337,"it looks cool, I like gadgets and I like having all my music with me on long car trips"
338,compact and good sound quality
339,It is small and yet has good sound quality.
340,I can listen to only the songs that I like.
341,Its got the best sound quality of any device i've ever had
342,It's small so no one notices that I'm listening to it at work.
343,No skipping of tracks when I move.
344,"easy to operate, light weight, lot of memory space"
345,"Cheaper than Product A. Just want to listen to music. Don't need video, movies, etc. Perfect for my humble needs."
346,stops me being bored cuz I can listen while I'm working
347,style and portability
348,"small and neat, easy to take around with me"
349,I can have all my favourite music with me so I don't get bored and it's so easy to use
350,It has so much storage!
351,Product A is small but with a large capacity for tracks
352,It is pretty
353,It's puny and easy to carry
354,stylish appearance
355,sound quality
356,I can listen to my music where ever I want
357,The small size
358,The massive amount of storage capacity as well as the ease of use are the primary factors. I also like the sleek look of the product.
359,Big capacity! Nice design and easy to use.
360,It is nicely designed with great features that are easy to use. The large 60GB capicity is wonderful! I love the color screen.
361,It's ok for working out. I wanted Product A but got this as a gift.
362,"Design perfection; visually attractive, slim, lightweight. Big hard drive"
363,It's large enough to hold all my music and the battery lasts forever
364,color
365,color options
366,It lets me listen to my classic rock whenever I want.
367,The size
368,"portable, light small powerful"
369,conveniance to listen to my music wherever I am. It is able to store all my music so i have whatever i want when i want it.
370,The color
371,convenient size
372,it's compact. i can store loads of songs on it.
373,easy to use
374,Amount of memory
375,"Small, light"
376,Provides entertainment whilst traveling to and from work.
377,can use where and when i want
378,"small, affordable"
379,it is compact
380,"Can store files other than music, small enough to fit in my pocket, and has FM radio"
381,it's reliable.
382,ease of use
383,light
384,Easy to use and it looks cool and i can just drag and drop my music from the pc to it without the need for other programs. It also plays movies.
385,that it is portable
386,it holds alot of songs and is good quality
387,"It stores lots of music, easy to use and good sound quality."
388,It has a radio in it so I can listen to the radio in the morning on the train and to music in the afternoon on the way home.
389,it has a radio tuner too.
390,The number of tracks that it holds
391,rechargable battery
392,its small and convenient
393,appealing aesthetic
394,size and cost
395,Built in radio
396,Easy to carry
397,Small and stylish
398,"Small, fairly cheap"
399,Very cheap with built-in radio and good battery life.
400,It is light and compact
401,Can store lots of music. Is easy to use.
402,It's capacity and ease of use.
403,can take it anywhere
404,decent price
405,"It was a present, I wouldn't have chosen it. I wanted Product A."
406,"little, light"
407,The battery power is great.
408,cost and size
409,Having all my CDs in the palm of my hand!
410,The shuffle mode.
411,Battery life. Portability. Accessories. Style.
412,I like its ability to store all of my music. I also like the ability to create playlists.
413,"portability, capacity, sound quality, durability"
414,"Small, great sound, capacity."
415,Able to hold all of my songs in one place.
416,It's portable! I can take it anywhere.
417,Living in my own little world
418,mobility
419,"I like that Product A has a lot of storage. Also, the interface is very easy to use."
420,It holds a ton of music.
421,It's fun to use
422,its cool
423,lots of disk space
424,Others think it is cool and it sounds great.
425,lightweight
426,easy to use
427,great accessories
428,i can listen to my music wherever i want. i also like that it is durable/dropable.
429,supports standard for lossless compression which offers much higher fidelity.
430,very small and holds lots of songs
431,its great. i can share music with my friends and download tons of tunes off the internet.
432,I can listen to the old Ludwig Van without anyone interfering with my activities.
433,It offers lots of disk space for all of my CDs.
434,Always having a good collection of music at hand
435,It's portable and the device is well-designed.
436,Its portability enables me to listen to my music while I am milking cows and working in the fields.
437,it allows me to control all of my music.
438,It is better than having a lot of CDs in the car. I can hook this up to my stereo and get lots of tunes.
439,The ability to build a playlist is the best feature. There are times I like to mix and match my selections.
440,"small, easy to sync"
441,It has great sound quality. It also has capacity for all my music.
442,holds lots of music
443,batteries last a long time
444,Easy to download music and runs a long time without recharging.
445,tunes everywhere
446,It's easy to use.
447,The interface is incredibly easy to use.
448,it holds many songs
449,"It's not that great, really. What I like most about it is that it's NOT Product A!"
450,Everything!  Product A rules!  I can't wait to get a video one!
451,"Ability to carry large amounts of music in a small, lightweight device."
452,"I was worried I was too old for this new fang-dangled technology. But my nephew showed me around the farm, as it were, and it's not as hard to use as I thought it would be."
453,ease of use
454,"It has some DJ features like building track list, cross fading, etc. It's very durable also. A friend dropped it once and it still works perfectly."
455,portability
456,taking all my music everywhere
457,i have a Product A. i like the small size and good sound.
458,Convenience
459,"The ability to take my CD collection and have it in one simple, small, portable device."
460,I can store a lot of music on it.
461,"Small, light-weight, and easy to bring along."
462,"Drowns out train noise. Light and easy to carry and use, I don't have the patience to download music."
463,I can listen to the radio on it
464,It allows me the freedom to listen to my favorite music or programs on my terms. Makes my commute enjoyable.
465,Ability to carry a huge library of tunes aorund with me in something the size of a credit card.
466,"high quality, durable, good sound"
467,Looks cool.
468,it keeps playing. i don't have to stop and change a CD.
469,Portability and intuitive features of Product A
470,Music choice; lack of skipping (vs. CD players)
471,Convenience of storing all my music in one device
472,Durably constructed
473,Large storage capacity
474,Stores 5000 songs in a compact portable player.
475,small
476,"Ease of use, simple functionality, elegant design and that it holds a lot of music and goes anywhere I do, headphones, car, home stero, portable speakers."
477,Portable and durable
478,its design is way cool
479,great quality
480,"Small size. It has 512Mb of add-on memory, so it is quick to load and play music. It can also encode directly from external devices from the radio or a CD player."
481,storage capacity
482,The software is very cool.
483,sleek design
484,I like that I can build a bank of music that suits my tastes and cut out all of the songs that often come on Cds along with the one song you like
485,Small
486,It's nice
487,"Small, handy device"
488,It's small & fits in your pocket.
489,"It's just great. I have all my music downloaded onto it now, so no need to find the CD I want to play etc. Really great."
490,"Good quality sound, easy to carry"
491,Handy
492,Its great look and easy to use interface
493,"Easy to use. Has a big screen. Software is easy to use, organizes folders in trees so you can open to investigate or close to save space. 20 GB hard drive."
494,Small but lots of space (60 GB). Video is a bit of a toy but cool.
495,the colour and size
496,"As well as being able to listen to music, can watch movies, surf internet, etc."
497,"Because it is also an organiser, I always carry it with me."
498,It's a portable music device
499,Long battery life. Also when you turn it on it picks up where you left off.
500,It's beautiful.
501,its tiny and can hold lots of songs and photos
502,It's very small.
503,"Big storage capacity, also does video"
504,stores 2 days worth of music
505,Long battery life. Good sound quality.
506,It's portable.
507,The size and the fact that it has an included FM radio
508,Its good looking and easy to use
509,Easy to organise my music files. Good battery life.
510,Small and easy to use
511,Its so small and cute
512,It is portable.
513,"It's well designed, light and very easy to use."
514,I can always bring it with me. The sound quality is very good.
515,"It's lightweight, the battery life is very good, cool design."
516,"It is compact, tidy and easy to use"
517,Not a lot.  I hardly use it.
518,It's portable
519,Large storage capacity and a good LCD screen for viewing digital photos
520,It was a freebie!
521,Ease of use. Looks good. Compatible with car stereo.
522,Listening to any songs I like any time I like.
523,"I can listen to where ever I am, I don't have to worry about which Cd to take etc have all my music on it so listen to what I like when I like. Also I like the fact that I can plug it into speakers."
524,It looks good and is very easy to use
525,The sound quality and the ability to record and mix my own play lists.
526,Storage capacity (40GB)
527,Compact and waterproof
528,It's sound
529,size and accessories
530,it was free
531,It's so easy to find the music I like.
532,It's tough.
533,It's small and holds all of my music.
534,size
535,Ease of use and portability.
536,size
537,size
538,I like the small size of the device. It allows me to keep it in a pocket while I use it so that I don't have to hold it like I would a larger device.
539,The compact design
540,How easy it was to use
541,The amount of music files it holds
542,The size
543,The sound quality
544,I love it. I can listen to old heavy metal and new metal and alternative. Its batteries last for days.
545,"Controls are easy to understand and use. It's a well-designed, well-built unit."
546,portability
547,"Easy to carry, and its size."
548,its cost
549,The size makes it convenient to carry around.
550,Listening while traveling to drown out the noise of crying kids!
551,"It has a lot of storage capacity. I can fit a lot of songs on it. Also, it's very lightweight."
552,"I like the skip-free playback. Also, dragging and dropping songs. It's better than a ""real"" stereo."
553,"The online store is great. Also, sound quality is excellent."
554,My son bought it for me for my birthday. I feel pretty hip. I like to listen to Mozart when I'm gardening. I love it's light weight. And the design is so sleek!
555,It was cheaper than the overrated Product A.
556,"This has 256MB of memory; it holds about 50 songs. I've got another chip in my bag with another 50 songs on it. The cool thing about this is, it cost $200 plus $60 for a portable keyboard, and I can run other programs, take notes, as well as listen to music. If I wanted to, I could surf the Web and get e-mail. For a while I even had music videos on it!"
557,its small
558,"Product A is fantastic. Really sharp design. Headphones are great too, not like the old in-the-ear types that always fell out. Sound quality seems good as well."
559,I like that it's light. I use it while commuting and when running. I really like the random play option.
560,small size and ease of use
561,you can take it everywhere
562,huge selection of music at my fingertips when traveling. like bringing your whole stereo with you
563,I like that it's small and I can take it anywhere with me. Also that it holds so many songs. I currently have almost 500.
564,"i can listen to whatever i want, whenever i want to."
565,It's actually my son's but I use when I exercise. I like that it's so slim and lightweight. It's pretty too.
566,Product A is the best. Drag & drop songs from their site is really easy and I love all the random play options. Like the long battery life.
567,Convenience. Easy to use; I'm a technophobe!
568,It's totally smooth. Much better than Product A. I love cranking it up and tuning everyone else out on the train.
569,It was much more affordable than Product A.
570,"convience, size"
571,good sound quality
572,amount of tunes it holds
573,"it like has all of my songs. i mean all of them, and it still has room for like a gazillion more"
574,Well obviously the portability. I love the fact that I can have all my CD collection on the one small device that I can take with me where ever I go. I also like the fact that the battery lasts so long which makes it great for those long plane flights. Its also very easy to copy music from CD to the device.
575,The color. It's purple which is my favourite color. I also like the accessories you can buy for it.
576,It holds all 6 of my Classical music CD's.
577,it is portable and compact. No CDs required any longer
578,user friendliness
579,practical and fancy!
580,music in a single place
581,Size. Weight. Simplicity. Connects directly to the laptop to download songs
582,Ease of Use
583,it has never let me down. has loud volume for my ageing ears.
584,"room for lots of songs, sleek design, software for managing the music on your PC is the best"
585,40 gig
586,It has really good sound; not the really bad sound I experienced with Product A. I know people think Product A is really cool but I have been so much happier with the design of Product D.
587,Quality sound
588,I can listen anywhere and I can plug into my speaker system. It is small and i can play music during dinner with friends without having a huge sound system in my dining room.
589,Not having to drag my CDs around with me
590,"The size. It can take a beating and any jarring won't make the music skip at all. Also, it is small enough to wear around my neck. All of this translates to making exercising and jogging with it easier."
591,Great sound quality
592,"It's way cool, the teacher can't even see the headphone cable."
593,The photo feature. I can see my slideshows on it.
594,"It gives me time to collect my thoughts and escape some of the stress from the day.  While riding the train, it allows me to sit back and relax and transition to home life."
595,easy to transport
596,I don't have to carry around CDs.
597,It has a catchy beat an is easy to dance to.
598,"Ease of use, design"
599,Capacity
600,It was cheap
601,Small
602,the sound quality is killer and it holds all of my CDs.
603,I like it because I can hear the music clearly.
604,The playlist feature so I can make my own playlists for our bashes.
605,Its pretty green color.
606,It rocks. I can download music from the internet.
607,It's analog
608,Sound quality
609,I can load all my favorites and never run out of music. Since it has so much space I can load new tunes without having to remove some of my previous music. I have my whole library of music with me at all times.
610,It holds all of my music and it is small.
611,easy to transport all my music
612,The design
613,"It is small, lightweight and easy to carry"
614,I like how easily it fits into my purse or pocket
615,I can put all of my music on it.
616,The sound
617,good mobillity
618,Its compact size
619,It is reliable.
620,"I was given it as a present, so I just like it."
621,Good Design. Easy to use.
622,All of my music fits on it.
623,"capacity to hold a lot of music, ease of use, cool earbud"
624,It fits comfortably in the palm of my hand
625,I use it when I work around the house to listen to Frank and Dean when I can.
626,Makes me feel young again!
627,It is small and light so I forget I'm carrying it.
628,storage capacity
629,The compact design of the device and the software was very user friendly and easy to install
630,that it is portable
631,its cool
632,It's small but holds lots of music
633,large storage capacity
634,"Well-made, good sound."
635,I can wear it while I am exercising because it is so small.
636,"It can hold all of my child's music. Where ever we are, when my son gets cranky, I can pull it out and in no time he is chilled out."
637,"inexpensive, has FM radio"
638,It's small and light
639,Handy
640,Handy for listening to music on the way to work.
641,I can take it anywhere I like
642,I can edit the playlist
643,Style and ease of use
644,small size and large capacity
645,headphones are good lost of songs
646,"small, long battery life, and good sound"
647,can store lots of songs
648,Its size.
649,it is easy to use and I like the look of it.
650,Multiple formats. Big hard disk. Good battery life and recharge speed. Good download speed.
651,It holds lots of songs
652,it's blue
653,I can understand how to use it.
654,"small, multi purpose, easy to use"
655,small enough to use anywhere
656,incredibly small
657,we can use it everywhere
658,great sound
659,Nothing special. It does everything well.
660,"It's multi-purpose. Also it's easy to change music. When plugged into the adapter, the memory card looks like another hard drive."
661,looks nice
662,Its size means I don't have to listen to the teachers.
663,Small size; large capacity; easy to use
664,Its size means I can listen to it while working.
665,I find it very convenient and simple to use.
666,Easy to use and my alternative rock songs sound awesome on it!
667,How many songs it holds
668,It's nice and small and fits into my handbag.
669,"Been using a portable cassette player, but it finally broke. Product A seemed to be the brand to get. I like that they're really light weight. Also, it's easier to skip around from song to song than it is with a tape."
670,It's small
671,Size
672,"It changes the relationship you have with your music. I've been listening to music a long time and that never happened with cds, tapes, or vinyl."
673,I like that I don't have to fiddle with software to download music. I can just drag my songs onto the memory card and plug it in.
674,I can put a lot of music on it and it's cool looking
675,Sound quality.
676,I like that I can listen to my music when I'm at the gym and not have to worry about switching CD's or the CD skipping.
677,"Creating custom playlists, listening to comedy clips downloaded from the Web"
678,Nothing
679,Well being a long haul truck driver i really like the fact that there is always music to listen to and that i can turn up the volume real loud when my favorite song comes on.
680,built-in FM tuner
681,I like that it's easily portable and that I can take it with me while I'm working at my local coffee shop.
682,size
683,I like that I can easily carry a variety of music with me. The new broadcast feature is also great.
684,"lots of storage, ability to store all of my music in one place, listening to books, playlists"
685,The number of songs I can store on it.
686,I can access it using different computers. It's also very compact for travelling.
687,small footprint
688,Discrete size.
689,Great music quality
690,small
691,I can buy just the songs I want on their site.
692,the memory
693,"Very convenient, can take it anywhere."
694,It's pink.
695,"little size, great capacity"
696,"holds lots of songs, can tell which album and song is playing, and by which artist"
697,its color
698,"The smallest, most reliable, best product ever on the market."
699,Ease of use
700,hand-sized portable
701,Design and simplicity
702,its stylin'
703,Uses standard batteries
704,it holds loads of songs and is easy to use
705,it sounds amazing and i love having all that music available to me
706,not as pricey as Product A
707,Great sound.
708,the fact that it can be charged up and I don't need to carry CDs as all the music is loaded on it already.
709,music catalogue is better than others
710,"Ease of use, bug free"
711,Quite stylish and easy to use.
712,I love how it is so small. I also like the games I can play
713,"I like the various functions that it offers including music, film & photos"
714,You can listen to anything!
715,the colour of the device
716,size and weight
717,Good quality of sound
718,Its very light!
719,large drive is key
720,"Small size, amount of storage, colour, style and design"
721,it portable
722,size
723,convenience
724,I finally caved in after seeing all the commericals and seeing people on the train with Product A. It does look sleek.
725,You can listen to your own music wherever you are
726,"It's small and light, long battery life, good sound quality."
727,the size
728,"Hats off (again). Every time they upgrade I buy the lastest (and give my old one to friends or sell online). The latest version with video and photo capability is amazing. Plus it's lighter and thinner and holds like 15,000 songs. For me though, having access to tunes on the web makes all the difference. It's the best source for digital music hands down."
729,"form, function, memory, ease of use"
730,it looks beautiful and it is easy to use.
731,Its smaller and lighter than a personal cassette player.
732,style
733,portability
734,Size
735,It's part of my organizer so I don't have to carry too much hardware around.
736,Uses removable memory cards.
737,it plays music
738,It is lightweight and rugged
739,I like the well-designed interface and large capacity.
740,The size is best.
741,looks cool
742,"it looks cool, I like gadgets and I like having all my music with me on long car trips"
743,compact and good sound quality
744,It is small and yet has good sound quality.
745,I can listen to only the songs that I like.
746,Its got the best sound quality of any device i've ever had
747,It's small so no one notices that I'm listening to it at work.
748,No skipping of tracks when I move.
749,"easy to operate, light weight, lot of memory space"
750,"Cheaper than Product A. Just want to listen to music. Don't need video, movies, etc. Perfect for my humble needs."
751,stops me being bored cuz I can listen while I'm working
752,style and portability
753,"small and neat, easy to take around with me"
754,I can have all my favourite music with me so I don't get bored and it's so easy to use
755,It has so much storage!
756,Product A is small but with a large capacity for tracks
757,It is pretty
758,It's puny and easy to carry
759,stylish appearance
